Species,log(bodyLenght),aI/body_length,aII/body_length,coxaII-shape,coxaIII-shape,ppV/body_length,ppVI/body_length,ppVII/body_length,width/length_ppV/2,width/length_ppVI/2,width/length_ppVII/2,gpI-wrist,gpI-size,gpI_angle,gpII-wrist,gpII-size,gpII_angle
N_aquilex,0.9601308742,0.4095832081,0.1997601022,1.1546483614,1.1495852724,0.245576658,0.3338001377,0.3759355112,0.6293499509,0.577244851,0.5586174289,0.8381533101,0.1197932978,0.6452417029,0.9509803922,0.1344347009,0.5728114478
N_dolenianesis,0.9921114878,0.4692392263,0.2350392979,0.9277373099,0.9448323154,0.3049662372,0.4150327147,0.422946368,0.7284032703,0.7287050676,0.7270573753,0.8223703099,0.1407859483,0.6174496604,0.9214618294,0.1619961847,0.5159074445
N_fontanus,0.9706567546,0.4593738773,0.2338219227,0.9655840132,0.8473048433,0.3410129612,0.4796958967,0.4750386974,0.6139280612,0.5921161972,0.6087779528,0.7134986226,0.1791191155,0.6938609314,0.6967032967,0.2355563481,0.7028390121
N_grandii,0.9492679967,0.5662000953,0.2753900635,1.0508658009,1.138061759,0.377597566,0.558559409,0.7727272727,0.576869272,0.5683400806,0.5771056297,0.6360424028,0.1947176173,0.7607257888,0.7243816254,0.2000561956,0.7474459246
N_jovanovici,0.9083777724,0.5131190558,0.3051436255,1.2777308861,1.2643284361,0.3776140637,0.5925432906,0.7248184086,0.4492576572,0.4396735694,0.4720793589,0.4887780549,0.2477154853,0.8218541484,0.5682414698,0.2430229686,0.8302436605
N_kenki_5,1.2598326991,0.4194612424,0.1819681143,0.9147286822,0.8175675676,0.330951072,0.4260582738,0.4414513469,0.7413793103,0.7246376812,0.679245283,0.7549019608,0.1473336998,0.6827495043,0.8727272727,0.1742715778,0.5876683502
N_microcerberus,0.6532125138,0.46,0.233,1.5,1.2857142857,0.3309859155,0.4212548015,0.6017925736,0.4,0.4,0.5,0.2325581395,0.3367521368,0.8930071059,0.2441860465,0.3333333333,0.8839774282
N_multipennatus,0.8149131813,0.4828558246,0.2963578926,1.2308367072,1.3071057483,0.3926315628,0.568068255,0.6838766502,0.4345827086,0.4376628142,0.4906246964,0.5032595642,0.2520834046,0.8022625459,0.5582870884,0.2671278936,0.7994073857
N_pectinicauda,0.7030763276,0.4544565544,0.2641785624,0.7944240196,0.7587099812,0.4081370767,0.5321581604,0.5306771057,0.6770860243,0.7044542536,0.7212121212,0.8797021944,0.1920025076,0.7088998692,0.9771451484,0.2038225412,0.5798801607
N_serbicus,0.7302437827,0.4615835447,0.230851786,1.0673400673,0.9852941176,0.3386288189,0.4534724368,0.4996650343,0.599801061,0.5871584699,0.5878977821,0.5915012757,0.185793246,0.7597902927,0.5787756865,0.2358963671,0.7812106412
Carinurella,0.4717661378,0.3523573201,0.1265508685,0.68,0.7,0.2928039702,0.2977667494,0.3027295285,0.81,0.8,0.8,1.0588235294,0.1141439206,0.2299465241,1.6470588235,0.1091811414,0.2941176471
N_danconai,0.7532765702,0.4960739136,0.2428584581,0.7898531625,0.6936998204,0.3850364964,0.5328467153,0.4945449726,0.6859784481,0.709148728,0.7513588589,1.3113207547,0.1051888457,0.3370915785,1.5927419355,0.1217790328,0.2131939235
N_kochianus,0.6588182948,0.41722144,0.2072369028,0.7662144352,0.7522419994,0.323076084,0.4493087558,0.3963133641,0.6764705882,0.7048275862,0.7810457516,1.0333333333,0.1135673304,0.4235437925,1.3442822384,0.1267296659,0.3704379562
N_labacensis,0.4871383755,0.5570032573,0.2280130293,0.9411764706,0.8947368421,0.4142915309,0.5271729813,0.4366856678,0.6216216216,0.6829268293,0.7948717949,1.4545454545,0.1003257329,0.5428571429,1.6666666667,0.1087947883,0.2259920635
N_longidactylus,0.5749567758,0.7072711745,0.2365746371,0.7345682128,0.6223342447,0.5178571429,0.6522200772,0.6438223938,0.7179896326,0.7222059937,0.7343976778,1.3,0.1170835551,0.375,1.7205479452,0.1290580096,0.3004954824
N_pupetta,0.3424226808,0.3409090909,0.1690821256,0.5769230769,0.5,0.3877005348,0.3977272727,0.3676470588,0.7857142857,0.75,0.8461538462,0.8461538462,0.1555312158,0.3653846154,1.3333333333,0.1577217963,0.4666666667
N_skopljensis,0.8093913508,0.4334722939,0.2168234045,0.6714632901,0.5905852582,0.3775637338,0.4540568073,0.4540697292,0.8066170014,0.7647713374,0.8442777328,1.2214170692,0.1106430077,0.3496803351,1.4173693783,0.1330797963,0.0640562996
N_transitivus,0.3424226808,0.5046791444,0.22,0.8,0.79,0.4311497326,0.4679144385,0.4251567398,0.83,0.8461538462,0.92,1.1538461538,0.1258741259,0.3846153846,2.5,0.1188811189,-0.1052631579
