Locality,Species
Belluno,N_grandii
Belluno,N_longidactylus
Belluno,N_microcerberus
Belluno,N_pupetta
Dovjež,N_kenki
Dovjež,N_pupetta
Dovjež,N_labacensis
Dovjež,N_longidactylus
Dovjež,N_multipennatus
Dovjež,N_pectinicauda
Majerje,N_grandii
Majerje,N_kochianus
Majerje,N_microcerberus
Torre,N_grandii
Torre,N_transitivus
Torre,N_microcerberus
Torre,Carinurella
Torre,N_dolenianesis
Travnik,N_kochianus
Travnik,N_multipennatus
Travnik,N_longidactylus
Travnik,N_serbicus
Waterstone,N_aquilex
Waterstone,N_fontanus
Waterstone,N_kochianus
